scenario,scenario_order,projected_date,distinct_fixes,low,high,assumption
reversion,0,2026-11-12,75,65,85,latest wave was a one-off; return to the mean of the prior three full-quarter waves
trend,1,2026-11-12,93,,,"least-squares line through all full-quarter waves, extended one slot"
regime repeat,2,2026-11-12,142,,,whatever produced the latest wave keeps delivering at that level
escalation,3,2026-11-12,145,,,latest wave is the new base and growth continues at the fitted trend rate
