release_key,release_dt,category,category_order,is_out_of_band,fix_cnt
20251113,2025-11-13,Other functionality,9,false,16
20251113,2025-11-13,Replication & recovery,4,false,11
20251113,2025-11-13,Security (CVE),0,false,2
20251113,2025-11-13,Wrong results & planner,3,false,4
20260212,2026-02-12,Build & platform,8,false,6
20260212,2026-02-12,Client tools,5,false,5
20260212,2026-02-12,Crash & corruption,2,false,14
20260212,2026-02-12,Extensions & contrib,6,false,7
20260212,2026-02-12,Other functionality,9,false,22
20260212,2026-02-12,Performance,7,false,2
20260212,2026-02-12,Replication & recovery,4,false,6
20260212,2026-02-12,Security (CVE),0,false,5
20260212,2026-02-12,Wrong results & planner,3,false,8
20260226,2026-02-26,Client tools,5,true,1
20260226,2026-02-26,Crash & corruption,2,true,1
20260226,2026-02-26,Other functionality,9,true,4
20260226,2026-02-26,Replication & recovery,4,true,1
20260226,2026-02-26,Security (CVE),0,true,2
20260514,2026-05-14,Client tools,5,false,3
20260514,2026-05-14,Crash & corruption,2,false,10
20260514,2026-05-14,Extensions & contrib,6,false,3
20260514,2026-05-14,Other functionality,9,false,26
20260514,2026-05-14,Replication & recovery,4,false,8
20260514,2026-05-14,Security (CVE),0,false,14
20260514,2026-05-14,Security hardening (no CVE),1,false,4
20260514,2026-05-14,Wrong results & planner,3,false,5
20260813,2026-08-13,Build & platform,8,false,4
20260813,2026-08-13,Client tools,5,false,12
20260813,2026-08-13,Crash & corruption,2,false,32
20260813,2026-08-13,Extensions & contrib,6,false,6
20260813,2026-08-13,Other functionality,9,false,31
20260813,2026-08-13,Performance,7,false,1
20260813,2026-08-13,Replication & recovery,4,false,13
20260813,2026-08-13,Security (CVE),0,false,29
20260813,2026-08-13,Security hardening (no CVE),1,false,5
20260813,2026-08-13,Wrong results & planner,3,false,9
