month_dt,month_date_key,origin,commit_cnt,ai_commit_cnt,cited_thread_cnt
2024-10-01,20241001,pgsql-bugs,20,0,20
2024-10-01,20241001,pgsql-hackers,180,0,145
2024-10-01,20241001,unknown_or_internal_not_security,40,0,10
2024-11-01,20241101,pgsql-bugs,20,0,19
2024-11-01,20241101,pgsql-hackers,127,0,114
2024-11-01,20241101,unknown_or_internal_not_security,48,0,17
2024-11-01,20241101,unknown_or_internal_security,7,0,0
2024-12-01,20241201,pgsql-bugs,14,0,14
2024-12-01,20241201,pgsql-hackers,149,0,117
2024-12-01,20241201,unknown_or_internal_not_security,29,0,8
2025-01-01,20250101,pgsql-bugs,12,0,9
2025-01-01,20250101,pgsql-hackers,178,0,134
2025-01-01,20250101,unknown_or_internal_not_security,26,0,5
2025-02-01,20250201,pgsql-bugs,6,0,4
2025-02-01,20250201,pgsql-hackers,197,0,143
2025-02-01,20250201,unknown_or_internal_not_security,38,0,17
2025-02-01,20250201,unknown_or_internal_security,7,0,0
2025-03-01,20250301,pgsql-bugs,17,0,16
2025-03-01,20250301,pgsql-hackers,288,0,225
2025-03-01,20250301,unknown_or_internal_not_security,57,0,17
2025-04-01,20250401,pgsql-bugs,18,0,18
2025-04-01,20250401,pgsql-hackers,205,0,187
2025-04-01,20250401,unknown_or_internal_not_security,95,0,22
2025-05-01,20250501,pgsql-bugs,12,0,12
2025-05-01,20250501,pgsql-hackers,104,0,97
2025-05-01,20250501,unknown_or_internal_not_security,25,0,7
2025-05-01,20250501,unknown_or_internal_security,2,0,0
2025-06-01,20250601,pgsql-bugs,14,0,16
2025-06-01,20250601,pgsql-hackers,96,0,85
2025-06-01,20250601,unknown_or_internal_not_security,49,0,16
2025-07-01,20250701,pgsql-bugs,13,0,12
2025-07-01,20250701,pgsql-hackers,176,0,160
2025-07-01,20250701,unknown_or_internal_not_security,27,0,17
2025-08-01,20250801,pgsql-bugs,12,0,10
2025-08-01,20250801,pgsql-hackers,163,0,121
2025-08-01,20250801,unknown_or_internal_not_security,21,0,8
2025-08-01,20250801,unknown_or_internal_security,3,0,0
2025-09-01,20250901,pgsql-bugs,11,0,10
2025-09-01,20250901,pgsql-hackers,161,0,133
2025-09-01,20250901,unknown_or_internal_not_security,17,0,6
2025-10-01,20251001,pgsql-bugs,14,0,14
2025-10-01,20251001,pgsql-hackers,201,0,145
2025-10-01,20251001,unknown_or_internal_not_security,25,0,8
2025-11-01,20251101,pgsql-bugs,12,0,11
2025-11-01,20251101,pgsql-hackers,209,0,170
2025-11-01,20251101,unknown_or_internal_not_security,37,0,15
2025-11-01,20251101,unknown_or_internal_security,2,0,0
2025-12-01,20251201,pgsql-bugs,11,0,9
2025-12-01,20251201,pgsql-hackers,220,0,170
2025-12-01,20251201,unknown_or_internal_not_security,30,0,16
2026-01-01,20260101,pgsql-bugs,6,0,6
2026-01-01,20260101,pgsql-hackers,211,0,179
2026-01-01,20260101,unknown_or_internal_not_security,22,0,10
2026-02-01,20260201,pgsql-bugs,9,0,9
2026-02-01,20260201,pgsql-hackers,162,0,127
2026-02-01,20260201,unknown_or_internal_not_security,14,0,6
2026-02-01,20260201,unknown_or_internal_security,12,0,0
2026-03-01,20260301,pgsql-bugs,15,0,14
2026-03-01,20260301,pgsql-hackers,349,0,257
2026-03-01,20260301,unknown_or_internal_not_security,52,0,19
2026-04-01,20260401,pgsql-bugs,15,0,14
2026-04-01,20260401,pgsql-hackers,283,0,231
2026-04-01,20260401,unknown_or_internal_not_security,58,0,19
2026-04-01,20260401,unknown_or_internal_security,1,0,0
2026-05-01,20260501,pgsql-bugs,8,0,8
2026-05-01,20260501,pgsql-hackers,148,0,127
2026-05-01,20260501,unknown_or_internal_not_security,23,0,2
2026-05-01,20260501,unknown_or_internal_security,23,1,0
2026-06-01,20260601,pgsql-bugs,24,0,23
2026-06-01,20260601,pgsql-hackers,148,1,133
2026-06-01,20260601,unknown_or_internal_not_security,31,0,5
2026-07-01,20260701,pgsql-bugs,29,0,26
2026-07-01,20260701,pgsql-hackers,251,2,220
2026-07-01,20260701,unknown_or_internal_not_security,25,0,18
2026-08-01,20260801,pgsql-bugs,31,2,28
2026-08-01,20260801,pgsql-hackers,218,5,165
2026-08-01,20260801,unknown_or_internal_not_security,28,0,4
2026-08-01,20260801,unknown_or_internal_security,33,7,0
