bug_number,reporter_person_key,reported_date_key,reported_dt,subject,thread_message_cnt,thread_size_window,is_acted_upon,outcome,linked_via,first_commit_dt,days_to_commit,days_to_commit_window,earliest_ship_release_dt
17259,3aae947404fd09733f2a2c3453e9ef87,20211031,2021-10-31,"BUG #17259: RETURN QUERY no longer accepts an UPDATE RETURNING",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17260,14ffd49419c8d420c5785d265a0ade61,20211101,2021-11-01,"BUG #17260: Unable to Download Installer: Receiving Internal Server Error 500",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17261,1fcc08b24a039578f161572d98015559,20211101,2021-11-01,"BUG #17261: FK ON UPDATE CASCADE can break referential integrity with columns of different types",8,3: 4-10 messages,false,no linked commit,,,,,2021-11-11
17262,33e01d5d2cf0980322a01247959a922c,20211102,2021-11-02,"BUG #17262: ""View manual"" button on postgres.org/docs is overflowing horizontally on mobile view",4,3: 4-10 messages,false,no linked commit,,,,,2021-11-11
17265,83936b2b5f80343ae838d1801d1cae66,20211103,2021-11-03,"BUG #17265: Not able to download",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17266,01dee442cb85e41229ff2a788389aa10,20211103,2021-11-03,"BUG #17266: could not truncate file ""base/126370/130666"" to 0 blocks: Permission denied",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17267,e0d957209c3aaa8402c2aa6976219cf0,20211103,2021-11-03,"BUG #17267: cant able to install",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17268,99539b4f55cc85d34dbcca1b6b27877e,20211103,2021-11-03,"BUG #17268: Possible corruption in toast index after reindex index concurrently",28,4: 11+ messages,true,linked to a fix commit,discussion_link,2021-12-08,35,4: within 6 months,2021-11-11
17269,1627a9b88f67fe9d8e6684a53aa8c3b1,20211103,2021-11-03,"BUG #17269: Why is virtual memory usage of PostgreSQL growing constantly?",6,3: 4-10 messages,false,no linked commit,,,,,2021-11-11
17270,22fbef86fc7034aef607c20752f268b3,20211103,2021-11-03,"BUG #17270: Partitions are not prunned for generic plans when `ANY` construct is used.",1,1: no replies,false,no linked commit,,,,,2021-11-11
17271,abd0435c58f3b8332d6ebd7e04d95fd4,20211104,2021-11-04,"BUG #17271: Updating enum columns type fails when constraints exist",6,3: 4-10 messages,false,no linked commit,,,,,2021-11-11
17272,d05c23b5bd3224fd802a6d8f2d4b6b3c,20211105,2021-11-05,"BUG #17272: Incorrect syntax parsed",2,2: 2-3 messages,false,no linked commit,,,,,2021-11-11
17274,dfae01dff01776440322a53a1be7a6f1,20211108,2021-11-08,"BUG #17274: Issue in upgrading package pgrouting: not signed",3,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17275,5e8df510e527db79a469057a16b7608c,20211108,2021-11-08,"BUG #17275: pg_waldump files split across postgresql14 and postgresql14-server packages",1,1: no replies,false,no linked commit,,,,,2022-02-10
17276,d5b786aa32eda43e70f644796d6c525d,20211109,2021-11-09,"BUG #17276: pg_tblspc Permission denied",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17277,f31a58fe1776f6e8de7c3e5c84a1899e,20211109,2021-11-09,"BUG #17277: write past chunk when calling normalize() on an empty string",3,2: 2-3 messages,true,linked to a fix commit,discussion_link,2021-11-11,2,2: within a week,2022-02-10
17278,8660f2558dde0e3499055efb1a0ee1ec,20211110,2021-11-10,"BUG #17278: Silent install issue",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17279,d10bbbd9d933c0194d6e787bd0b2da5c,20211110,2021-11-10,"BUG #17279: 'return query update ... returning *' reports syntax error in pg/plsql function",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17280,dd62e2ef2da8e7dc252efeb2d7a9d06a,20211110,2021-11-10,"BUG #17280: global-buffer-overflow on select from pg_stat_slru",8,3: 4-10 messages,true,linked to a fix commit,discussion_link,2021-11-12,2,2: within a week,2022-02-10
17281,40cfb916bdb4270361d3436cf67e1b93,20211111,2021-11-11,"BUG #17281: How specify regress database?",3,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17283,e6d5124137609e50cd51b6b922a9f305,20211113,2021-11-13,"BUG #17283: localhost should also include IPv6",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17284,8d353a4c5a84c5049abfc94b13c17ae1,20211113,2021-11-13,"BUG #17284: Assert failed in SerialAdd() when the summarize_serial mode is engaged",5,3: 4-10 messages,false,no linked commit,,,,,2022-02-10
17286,540fee0a660cbe3f4fc8787cce4515e5,20211117,2021-11-17,"BUG #17286: Installing open source edition of PostgreSQL 11.14 will fail",3,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17288,a9ad0b503fb71580b1c0e6accdb48635,20211117,2021-11-17,"BUG #17288: PSQL bug with COPY command (Windows)",29,4: 11+ messages,true,linked to a fix commit,discussion_link,2021-11-25,8,3: within a month,2022-02-10
17289,b70f188c0af69096bb61896a3a4eebf6,20211117,2021-11-17,"BUG #17289: Postgres 14.1 Windows installer fails with unknown error and terminates",12,4: 11+ messages,false,no linked commit,,,,,2022-02-10
17290,db80fef3f39a6031958d238a042cea7e,20211117,2021-11-17,"BUG #17290: Error Installation",4,3: 4-10 messages,false,no linked commit,,,,,2022-02-10
17292,4861186401477aa629576e3b3318dd03,20211119,2021-11-19,"BUG #17292: view definition containing multiple joins on partitioned table returns invalid explain plan",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17294,cba1e4240678a5449a149ddb7d811b42,20211120,2021-11-20,"BUG #17294: spgist doesn't support varchar, only text type fields.",2,2: 2-3 messages,true,linked to a fix commit,both,2021-11-20,0,1: same/next day,2022-02-10
17295,11bf6422b6a3bd943c3719ee920b2c64,20211120,2021-11-20,"BUG #17295: Different query plan with Index Only Scan and Bitmap Index Scan.",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17296,8cea4f2a7a7a948ab27e3f1965740deb,20211122,2021-11-22,"BUG #17296: replication slot self-removed after created",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17298,0a6f0b6165d47e495e8ae6f7ac62ab04,20211125,2021-11-25,"BUG #17298: Error in func pg_get_serial_sequence()",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17299,6125e1545faf0ef6b5c60288f2a67f9a,20211125,2021-11-25,"BUG #17299: Exit code 3 when open connections concurrently (PQisthreadsafe() == 1)",7,3: 4-10 messages,true,linked to a fix commit,both,2022-01-21,57,4: within 6 months,2022-02-10
17300,8d353a4c5a84c5049abfc94b13c17ae1,20211127,2021-11-27,"BUG #17300: Server crashes on deserializing text multirange",5,3: 4-10 messages,true,linked to a fix commit,discussion_link,2021-12-13,16,3: within a month,2022-02-10
17301,20fb48b835d0afef08c5e4243612fa76,20211127,2021-11-27,"BUG #17301: SELECT gets weird result while two transactions are submitted concurrently",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17302,8d353a4c5a84c5049abfc94b13c17ae1,20211128,2021-11-28,"BUG #17302: gist index prevents insertion of some data",4,3: 4-10 messages,false,no linked commit,,,,,2022-02-10
17303,40cfb916bdb4270361d3436cf67e1b93,20211129,2021-11-29,"BUG #17303: statement_timeout does not work always",4,3: 4-10 messages,false,no linked commit,,,,,2022-02-10
17304,7af2e8fac511f780d313d491e8845fdd,20211130,2021-11-30,"BUG #17304: Test failure with -fsanitize=undefined",1,1: no replies,false,no linked commit,,,,,2022-02-10
17305,686bae2edad104b7b13f9c4a2fd1cc12,20211201,2021-12-01,"BUG #17305: to_timestamp accept dates rejected by timestamptz cast",3,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17307,f964b30f5c7690881101a84af9b6fc54,20211202,2021-12-02,"BUG #17307: Performance deviation between the multiple iterations (NOPM & TPM values).",3,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17309,44c4d851a08b09d758ccac3792fd3768,20211202,2021-12-02,"BUG #17309: Memory consumption",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17311,05d3bb173713abb68ffaa1e2041bb6a9,20211203,2021-12-03,"BUG #17311: Google search results: Outdated docs at the top",3,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17312,03a068b93b96dd368a9e1f3d34d50185,20211203,2021-12-03,"BUG #17312: MacOS User Account Postgres not deleting.",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17313,598daaa0f89a8335f15bd10418120f16,20211203,2021-12-03,"BUG #17313: Exception by opening and closing connection",1,1: no replies,false,no linked commit,,,,,2022-02-10
17315,8a02477a4bfc1db9bf80120e3ff22e02,20211204,2021-12-04,"BUG #17315: Postgresql needs reinstall after restore",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17318,8d9db6e616e61561fbe81d107892f62c,20211206,2021-12-06,"BUG #17318: ERROR: AddressSanitizer: SEGV on unknown address in optimizer",4,3: 4-10 messages,true,linked to a fix commit,discussion_link,2022-04-23,138,4: within 6 months,2022-02-10
17320,8d9db6e616e61561fbe81d107892f62c,20211206,2021-12-06,"BUG #17320: A SEGV in optimizer",3,2: 2-3 messages,true,linked to a fix commit,discussion_link,2022-04-23,138,4: within 6 months,2022-02-10
17321,a6adaf043192e738b73dc0987dd9d622,20211206,2021-12-06,"BUG #17321: count(*) on a 1,874,554,883 rows partitioned table takes several minutes.",3,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17323,54ab8866ae356b9603de2cb327b8ee44,20211206,2021-12-06,"BUG #17323: test_config_settings during postgres initialization does not read the parameter huge_pages",3,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17325,eb7c00ba104013426c559b3d2d838199,20211208,2021-12-08,"BUG #17325: Unexpected streaming replication protocol bytes for IDENTIFY_SYSTEM command",2,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17326,6855b3509eaa77a9583a30035cc3d859,20211208,2021-12-08,"BUG #17326: Postgres crashed when pg_reload_conf() with ssl certificate parameters",13,4: 11+ messages,false,no linked commit,,,,,2022-02-10
17327,5ec504b1325aebdd0442833a5bd03ff2,20211208,2021-12-08,"BUG #17327: Postgres server does not correctly emit error for max_slot_wal_keep_size being breached",7,3: 4-10 messages,false,no linked commit,,,,,2022-02-10
17328,b9b146bcb24ed0498859e619e4f581fe,20211208,2021-12-08,"BUG #17328: import foreign schema never reports errors",1,1: no replies,false,no linked commit,,,,,2022-02-10
17329,aec3fb74254365f4315c3c8db90cdbd4,20211208,2021-12-08,"BUG #17329: Aggregate Functions Precision Error",3,2: 2-3 messages,false,no linked commit,,,,,2022-02-10
17330,d43042f807499e59bff03093fca8223d,20211209,2021-12-09,"BUG #17330: EXPLAIN hangs and very long query plans",10,3: 4-10 messages,false,no linked commit,,,,,2022-02-10
17331,bb3e8b6d4bb655deb0a8f4316b2a37aa,20211209,2021-12-09,"BUG #17331: Minor change in install steps",1,1: no replies,false,no linked commit,,,,,2022-02-10
17332,32ccc78703a1c11a7ec79b5f070860f8,20211210,2021-12-10,"BUG #17332: Cannot read termcap database",1,1: no replies,false,no linked commit,,,,,2022-02-10
17333,be5ae6f9c15e694218e131464b0733cf,20211210,2021-12-10,"BUG #17333: pgdg postgresql-common pg_upgradecluster duplicate data_directory in configuration file",4,3: 4-10 messages,false,no linked commit,,,,,2022-02-10
17334,8d353a4c5a84c5049abfc94b13c17ae1,20211212,2021-12-12,"BUG #17334: Assert failed inside computeDistance() on gist index scanning",5,3: 4-10 messages,false,no linked commit,,,,,2022-02-10
17335,3d21a34f339c22a2e4f06b3e916ef272,20211213,2021-12-13,"BUG #17335: Duplicate result rows in Gather node when ""Suppress Append ... that have a single child"" applied",4,3: 4-10 messages,true,linked to a fix commit,bug_ref,2022-01-25,43,4: within 6 months,2022-02-10
17336,1ed3cebb509e8d1d043509da557815f2,20211214,2021-12-14,"BUG #17336: logtape sort performance and overflow",2,2: 2-3 messages,true,linked to a fix commit,discussion_link,2021-12-14,0,1: same/next day,2022-02-10
