bug_number,reported_dt,subject,thread_message_cnt,is_acted_upon,linked_via,first_commit_dt,days_to_commit
17278,2021-11-10,"BUG #17278: Silent install issue",2,false,,,
17279,2021-11-10,"BUG #17279: 'return query update ... returning *' reports syntax error in pg/plsql function",2,false,,,
17280,2021-11-10,"BUG #17280: global-buffer-overflow on select from pg_stat_slru",8,true,discussion_link,2021-11-12,2
17281,2021-11-11,"BUG #17281: How specify regress database?",3,false,,,
17283,2021-11-13,"BUG #17283: localhost should also include IPv6",2,false,,,
17284,2021-11-13,"BUG #17284: Assert failed in SerialAdd() when the summarize_serial mode is engaged",5,false,,,
17286,2021-11-17,"BUG #17286: Installing open source edition of PostgreSQL 11.14 will fail",3,false,,,
17288,2021-11-17,"BUG #17288: PSQL bug with COPY command (Windows)",29,true,discussion_link,2021-11-25,8
17289,2021-11-17,"BUG #17289: Postgres 14.1 Windows installer fails with unknown error and terminates",12,false,,,
17290,2021-11-17,"BUG #17290: Error Installation",4,false,,,
17292,2021-11-19,"BUG #17292: view definition containing multiple joins on partitioned table returns invalid explain plan",2,false,,,
17294,2021-11-20,"BUG #17294: spgist doesn't support varchar, only text type fields.",2,true,both,2021-11-20,0
17295,2021-11-20,"BUG #17295: Different query plan with Index Only Scan and Bitmap Index Scan.",2,false,,,
17296,2021-11-22,"BUG #17296: replication slot self-removed after created",2,false,,,
17298,2021-11-25,"BUG #17298: Error in func pg_get_serial_sequence()",2,false,,,
17299,2021-11-25,"BUG #17299: Exit code 3 when open connections concurrently (PQisthreadsafe() == 1)",7,true,both,2022-01-21,57
17300,2021-11-27,"BUG #17300: Server crashes on deserializing text multirange",5,true,discussion_link,2021-12-13,16
17301,2021-11-27,"BUG #17301: SELECT gets weird result while two transactions are submitted concurrently",2,false,,,
17302,2021-11-28,"BUG #17302: gist index prevents insertion of some data",4,false,,,
17303,2021-11-29,"BUG #17303: statement_timeout does not work always",4,false,,,
17304,2021-11-30,"BUG #17304: Test failure with -fsanitize=undefined",1,false,,,
17305,2021-12-01,"BUG #17305: to_timestamp accept dates rejected by timestamptz cast",3,false,,,
17307,2021-12-02,"BUG #17307: Performance deviation between the multiple iterations (NOPM & TPM values).",3,false,,,
