cycle_key,cycle_start_dt,ships_at_dt,cycle_start_date_key,is_open,is_shipped
20220210,2021-11-08,2022-02-10,20211108,false,true
20220512,2022-02-07,2022-05-12,20220207,false,true
20220811,2022-05-09,2022-08-11,20220509,false,true
20221110,2022-08-08,2022-11-10,20220808,false,true
20230209,2022-11-07,2023-02-09,20221107,false,true
20230511,2023-02-06,2023-05-11,20230206,false,true
20230810,2023-05-08,2023-08-10,20230508,false,true
20231109,2023-08-07,2023-11-09,20230807,false,true
20240208,2023-11-06,2024-02-08,20231106,false,true
20240509,2024-02-05,2024-05-09,20240205,false,true
20240808,2024-05-06,2024-08-08,20240506,false,true
20241114,2024-08-05,2024-11-14,20240805,false,true
20250213,2024-11-11,2025-02-13,20241111,false,true
20250508,2025-02-10,2025-05-08,20250210,false,true
20250814,2025-05-05,2025-08-14,20250505,false,true
20251113,2025-08-11,2025-11-13,20250811,false,true
20260212,2025-11-10,2026-02-12,20251110,false,true
20260514,2026-02-09,2026-05-14,20260209,false,true
20260813,2026-05-11,2026-08-13,20260511,false,true
20261112,2026-08-10,2026-11-12,20260810,true,false
20270211,2026-11-09,2027-02-11,20261109,false,false
