month_dt,origin,commit_cnt,ai_commit_cnt,cited_thread_cnt
2023-08-01,unknown_or_internal_security,2,0,0
2023-09-01,pgsql-bugs,23,0,22
2023-09-01,pgsql-hackers,104,0,91
2023-09-01,unknown_or_internal_not_security,18,0,12
2023-10-01,pgsql-bugs,14,0,13
2023-10-01,pgsql-hackers,153,0,131
2023-10-01,unknown_or_internal_not_security,47,0,28
2023-11-01,pgsql-bugs,17,0,14
2023-11-01,pgsql-hackers,130,0,114
2023-11-01,unknown_or_internal_not_security,56,0,40
2023-11-01,unknown_or_internal_security,4,0,0
2023-12-01,pgsql-bugs,13,0,9
2023-12-01,pgsql-hackers,112,0,94
2023-12-01,unknown_or_internal_not_security,28,0,9
2024-01-01,pgsql-bugs,30,0,29
2024-01-01,pgsql-hackers,166,0,135
2024-01-01,unknown_or_internal_not_security,46,0,12
2024-02-01,pgsql-bugs,14,0,14
2024-02-01,pgsql-hackers,131,0,112
2024-02-01,unknown_or_internal_not_security,31,0,12
2024-02-01,unknown_or_internal_security,2,0,0
2024-03-01,pgsql-bugs,10,0,10
2024-03-01,pgsql-hackers,247,0,210
2024-03-01,unknown_or_internal_not_security,60,0,21
2024-04-01,pgsql-bugs,5,0,5
2024-04-01,pgsql-hackers,246,0,208
2024-04-01,unknown_or_internal_not_security,89,0,36
2024-05-01,pgsql-bugs,11,0,8
2024-05-01,pgsql-hackers,97,0,93
2024-05-01,unknown_or_internal_not_security,48,0,4
2024-05-01,unknown_or_internal_security,1,0,0
2024-06-01,pgsql-bugs,20,0,17
2024-06-01,pgsql-hackers,84,0,69
2024-06-01,unknown_or_internal_not_security,44,0,3
2024-07-01,pgsql-bugs,14,0,13
2024-07-01,pgsql-hackers,238,0,187
2024-07-01,unknown_or_internal_not_security,36,0,21
2024-08-01,pgsql-bugs,14,0,13
2024-08-01,pgsql-hackers,158,0,117
2024-08-01,unknown_or_internal_not_security,38,0,10
2024-08-01,unknown_or_internal_security,1,0,0
2024-09-01,pgsql-bugs,11,0,12
2024-09-01,pgsql-hackers,158,0,131
2024-09-01,unknown_or_internal_not_security,34,0,11
2024-10-01,pgsql-bugs,20,0,20
2024-10-01,pgsql-hackers,180,0,145
2024-10-01,unknown_or_internal_not_security,41,0,10
2024-11-01,pgsql-bugs,20,0,19
2024-11-01,pgsql-hackers,128,0,115
2024-11-01,unknown_or_internal_not_security,48,0,16
2024-11-01,unknown_or_internal_security,7,0,0
